#Organism Name	Organism Groups		Size(Mb)	Chromosomes
"Acetobacter cibinongensis"	Bacteria	Proteobacteria	3.10509	0
"Acetobacter fabarum"	Bacteria	Proteobacteria	3.09543	0
"Acetobacter ghanensis"	Bacteria	Proteobacteria	2.84394	1
"Acetobacter indonesiensis"	Bacteria	Proteobacteria	3.41677	0
"Acetobacter malorum"	Bacteria	Proteobacteria	4.03941	0
"Acetobacter nitrogenifigens"	Bacteria	Proteobacteria	4.27052	0
"Acetobacter oeni"	Bacteria	Proteobacteria	4.06347	0
"Acetobacter okinawensis"	Bacteria	Proteobacteria	3.16624	0
"Acetobacter orientalis"	Bacteria	Proteobacteria	2.91069	0
"Acetobacter orleanensis"	Bacteria	Proteobacteria	3.01364	0
"Acetobacter oryzifermentans"	Bacteria	Proteobacteria	3.12745	1
"Acetobacter papayae"	Bacteria	Proteobacteria	3.04108	0
"Acetobacter pasteurianus"	Bacteria	Proteobacteria	3.76598	1
"Acetobacter peroxydans"	Bacteria	Proteobacteria	2.71279	0
"Acetobacter persici"	Bacteria	Proteobacteria	3.75668	1
"Acetobacter pomorum"	Bacteria	Proteobacteria	3.33212	1
"Acetobacter senegalensis"	Bacteria	Proteobacteria	3.96991	1
"Acetobacter syzygii"	Bacteria	Proteobacteria	2.97425	0
"Acetobacter tropicalis"	Bacteria	Proteobacteria	4.13966	1
"Acetobacteraceae bacterium"	Bacteria	Proteobacteria	7.74829	1
"Acetobacteraceae bacterium AT-5844"	Bacteria	Proteobacteria	5.19055	0
"Acetobacteraceae bacterium DB1506"	Bacteria	Proteobacteria	5.82308	0
"Acetobacteraceae bacterium KEBCLARHB70R"	Bacteria	Proteobacteria	4.78811	0
"Acetobacteraceae bacterium SCN 69-10"	Bacteria	Proteobacteria	2.10074	0
"Acetobacteraceae bacterium UBA6159"	Bacteria	Proteobacteria	4.62817	0
"Acetobacterium"	Bacteria	Terrabacteria group	3.98837	1
"Acetobacterium bakii"	Bacteria	Terrabacteria group	4.13563	0
"Acetobacterium dehalogenans"	Bacteria	Terrabacteria group	4.05007	0
"Acetobacterium paludosum"	Bacteria	Terrabacteria group	3.69113	0
"Acetobacterium tundrae"	Bacteria	Terrabacteria group	3.56308	0
"Acetobacterium wieringae"	Bacteria	Terrabacteria group	3.89583	0
"Acetobacterium woodii"	Bacteria	Terrabacteria group	4.04478	1
"Acetobacteroides hydrogenigenes"	Bacteria	FCB group	3.8611	0
"Acetohalobium arabaticum"	Bacteria	Terrabacteria group	2.4696	1
"Acetomicrobium"	Bacteria	Synergistetes	1.98275	0
"Acetomicrobium flavidum"	Bacteria	Synergistetes	2.0217	0
"Acetomicrobium hydrogeniformans"	Bacteria	Synergistetes	2.12392	0
"Acetomicrobium mobile"	Bacteria	Synergistetes	2.1607	1
"Acetomicrobium thermoterrenum"	Bacteria	Synergistetes	1.96758	0
"Acetonema longum"	Bacteria	Terrabacteria group	4.32301	0
"Acetothermia bacterium 64_32"	Bacteria	unclassified Bacteria	1.8102	0
"Acetothermia bacterium SCGC AAA255-C06"	Bacteria	unclassified Bacteria	0.669384	0
"Acetothermia bacterium UBA2187"	Bacteria	unclassified Bacteria	0.930847	0
"Acetothermia bacterium UBA3560"	Bacteria	unclassified Bacteria	1.87253	0
"Acetothermia bacterium UBA3563"	Bacteria	unclassified Bacteria	1.51927	0
"Acetothermia bacterium UBA3564"	Bacteria	unclassified Bacteria	1.49784	0
"Acetothermia bacterium UBA3565"	Bacteria	unclassified Bacteria	1.83394	0
"Acetothermia bacterium UBA3571"	Bacteria	unclassified Bacteria	1.84257	0
"Acetothermia bacterium UBA3574"	Bacteria	unclassified Bacteria	1.57678	0
"Acetothermia bacterium UBA4777"	Bacteria	unclassified Bacteria	1.15066	0
"Acetothermia bacterium UBA4801"	Bacteria	unclassified Bacteria	1.7278	0
"Acetothermia bacterium UBA7521"	Bacteria	unclassified Bacteria	1.79071	0
"Acheta domestica densovirus"	Viruses	Other	0.005425	1
"Acheta domestica mini ambidensovirus"	Viruses	Other	0.004945	1
"Acheta domesticus volvovirus"	Viruses	unclassified viruses	0.002517	1
"Achimota virus 1"	Viruses	Other	0.015624	1
"Achimota virus 2"	Viruses	Other	0.015504	1
"Achipteria coleoptrata"	Eukaryota	Animals	88.4439	0
"Achlya hypogyna"	Eukaryota	Protists	43.3985	0
"Acholeplasma"	Bacteria	Terrabacteria group	1.7213	0
"Acholeplasma axanthum"	Bacteria	Terrabacteria group	1.80712	0
"Acholeplasma brassicae"	Bacteria	Terrabacteria group	1.87779	1
"Acholeplasma equifetale"	Bacteria	Terrabacteria group	1.28237	0
"Acholeplasma granularum"	Bacteria	Terrabacteria group	1.45354	0
"Acholeplasma hippikon"	Bacteria	Terrabacteria group	1.43045	0
"Acholeplasma laidlawii"	Bacteria	Terrabacteria group	1.49699	1
"Acholeplasma modicum"	Bacteria	Terrabacteria group	1.21918	0
"Acholeplasma multilocale"	Bacteria	Terrabacteria group	0.924993	0
"Acholeplasma oculi"	Bacteria	Terrabacteria group	1.58712	1
"Acholeplasma palmae"	Bacteria	Terrabacteria group	1.55423	1
"Acholeplasma virus L2"	Viruses	Other	0.011965	1
"Acholeplasma virus L51"	Viruses	Other	0.004491	1
"Acholeplasmataceae bacterium"	Bacteria	Terrabacteria group	2.19606	0
"Acholeplasmataceae bacterium UBA2284"	Bacteria	Terrabacteria group	1.53008	0
"Acholeplasmataceae bacterium UBA4853"	Bacteria	Terrabacteria group	1.44715	0
"Acholeplasmataceae bacterium UBA4870"	Bacteria	Terrabacteria group	1.17805	0
"Acholeplasmataceae bacterium UBA4904"	Bacteria	Terrabacteria group	1.19007	0
"Acholeplasmataceae bacterium UBA4950"	Bacteria	Terrabacteria group	1.28065	0
"Acholeplasmataceae bacterium UBA5000"	Bacteria	Terrabacteria group	1.13567	0
"Acholeplasmataceae bacterium UBA5222"	Bacteria	Terrabacteria group	1.14766	0
"Acholeplasmataceae bacterium UBA5250"	Bacteria	Terrabacteria group	1.23054	0
"Acholeplasmataceae bacterium UBA5264"	Bacteria	Terrabacteria group	1.15898	0
"Acholeplasmataceae bacterium UBA5282"	Bacteria	Terrabacteria group	1.25103	0
"Acholeplasmataceae bacterium UBA5354"	Bacteria	Terrabacteria group	1.10042	0
"Acholeplasmataceae bacterium UBA5386"	Bacteria	Terrabacteria group	1.09662	0
"Acholeplasmataceae bacterium UBA5409"	Bacteria	Terrabacteria group	1.29511	0
"Acholeplasmataceae bacterium UBA5430"	Bacteria	Terrabacteria group	1.16703	0
"Acholeplasmataceae bacterium UBA5453"	Bacteria	Terrabacteria group	0.998003	0
"Acholeplasmataceae bacterium UBA5468"	Bacteria	Terrabacteria group	1.27505	0
"Acholeplasmataceae bacterium UBA5491"	Bacteria	Terrabacteria group	1.27951	0
"Acholeplasmataceae bacterium UBA5617"	Bacteria	Terrabacteria group	1.50177	0
"Acholeplasmataceae bacterium UBA5635"	Bacteria	Terrabacteria group	1.59563	0
"Acholeplasmataceae bacterium UBA5769"	Bacteria	Terrabacteria group	1.76018	0
"Acholeplasmataceae bacterium UBA6150"	Bacteria	Terrabacteria group	1.2855	0
"Acholeplasmataceae bacterium UBA6181"	Bacteria	Terrabacteria group	1.36058	0
"Acholeplasmataceae bacterium UBA6190"	Bacteria	Terrabacteria group	1.67015	0
"Acholeplasmataceae bacterium UBA6235"	Bacteria	Terrabacteria group	1.63881	0
"Acholeplasmataceae bacterium UBA7643"	Bacteria	Terrabacteria group	1.23828	0
"Acholeplasmatales bacterium"	Bacteria	Terrabacteria group	1.85943	0
"Acholeplasmatales bacterium DTU056"	Bacteria	Terrabacteria group	1.20785	0
"Acholeplasmatales bacterium DTU067"	Bacteria	Terrabacteria group	1.46914	0
"Acholeplasmatales bacterium Tener_01"	Bacteria	Terrabacteria group	0.885702	0
"Achromatium"	Bacteria	Proteobacteria	3.8456	0
"Achromobacter"	Bacteria	Proteobacteria	7.35207	1
"Achromobacter aegrifaciens"	Bacteria	Proteobacteria	6.94902	0
"Achromobacter agilis"	Bacteria	Proteobacteria	6.37648	0
"Achromobacter aloeverae"	Bacteria	Proteobacteria	6.49216	0
"Achromobacter arsenitoxydans"	Bacteria	Proteobacteria	6.15666	0
"Achromobacter denitrificans"	Bacteria	Proteobacteria	7.09044	1
"Achromobacter dolens"	Bacteria	Proteobacteria	6.32226	0
"Achromobacter insolitus"	Bacteria	Proteobacteria	6.89304	1
"Achromobacter insuavis"	Bacteria	Proteobacteria	6.89142	0
"Achromobacter marplatensis"	Bacteria	Proteobacteria	6.8922	0
"Achromobacter mucicolens"	Bacteria	Proteobacteria	5.85635	0
"Achromobacter phage 83-24"	Viruses	Other	0.048216	1
"Achromobacter phage JWAlpha"	Viruses	Other	0.072329	1
"Achromobacter phage JWDelta"	Viruses	Other	0.073659	1
"Achromobacter phage JWF"	Viruses	Other	0.081541	1
"Achromobacter phage JWX"	Viruses	Other	0.049714	1
"Achromobacter phage Motura"	Viruses	Other	0.221431	1
"Achromobacter phage phiAxp-1"	Viruses	Other	0.045045	1
"Achromobacter phage phiAxp-2"	Viruses	Other	0.06222	1
"Achromobacter phage phiAxp-3"	Viruses	Other	0.072825	1
"Achromobacter phage vB_AxyP_19-32_Axy04"	Viruses	Other	0.073834	1
"Achromobacter phage vB_AxyP_19-32_Axy09"	Viruses	Other	0.043287	1
"Achromobacter phage vB_AxyP_19-32_Axy10"	Viruses	Other	0.073898	1
"Achromobacter phage vB_AxyP_19-32_Axy11"	Viruses	Other	0.073413	1
"Achromobacter phage vB_AxyP_19-32_Axy12"	Viruses	Other	0.074096	1
"Achromobacter phage vB_AxyP_19-32_Axy13"	Viruses	Other	0.070103	1
"Achromobacter phage vB_AxyP_19-32_Axy21"	Viruses	Other	0.043049	1
"Achromobacter phage vB_AxyP_19-32_Axy22"	Viruses	Other	0.07171	1
"Achromobacter phage vB_AxyP_19-32_Axy23"	Viruses	Other	0.043773	1
"Achromobacter phage vB_AxyP_19-32_Axy24"	Viruses	Other	0.074744	1
"Achromobacter phage vB_AxyS_19-32_Axy06"	Viruses	Other	0.04583	1
"Achromobacter phage vB_AxyS_19-32_Axy14"	Viruses	Other	0.046703	1
"Achromobacter phage vB_AxyS_19-32_Axy16"	Viruses	Other	0.046178	1
"Achromobacter phage vB_AxyS_19-32_Axy18"	Viruses	Other	0.0455	1
"Achromobacter phage vB_AxyS_19-32_Axy19"	Viruses	Other	0.046036	1
"Achromobacter phage vB_AxyS_19-32_Axy20"	Viruses	Other	0.046352	1
"Achromobacter piechaudii"	Bacteria	Proteobacteria	6.32219	0
"Achromobacter pulmonis"	Bacteria	Proteobacteria	6.94355	0
"Achromobacter ruhlandii"	Bacteria	Proteobacteria	6.68653	1
"Achromobacter spanius"	Bacteria	Proteobacteria	6.68782	1
"Achromobacter xylosoxidans"	Bacteria	Proteobacteria	6.81318	1
"Aciculoconidium aculeatum"	Eukaryota	Fungi	18.235	0
"Aciculosporium take"	Eukaryota	Fungi	58.8364	0
"Acidaminobacter hydrogenoformans"	Bacteria	Terrabacteria group	3.61561	0
"Acidaminococcaceae bacterium"	Bacteria	Terrabacteria group	1.54709	0
"Acidaminococcaceae bacterium UBA2453"	Bacteria	Terrabacteria group	1.8056	0
"Acidaminococcaceae bacterium UBA2812"	Bacteria	Terrabacteria group	1.92758	0
"Acidaminococcaceae bacterium UBA2842"	Bacteria	Terrabacteria group	1.97782	0
"Acidaminococcaceae bacterium UBA2873"	Bacteria	Terrabacteria group	1.97075	0
"Acidaminococcaceae bacterium UBA7746"	Bacteria	Terrabacteria group	2.00075	0
"Acidaminococcus"	Bacteria	Terrabacteria group	2.63097	0
"Acidaminococcus fermentans"	Bacteria	Terrabacteria group	2.32977	1
"Acidaminococcus intestini"	Bacteria	Terrabacteria group	2.48777	1
"Acidaminococcus intestini CAG:325"	Bacteria	Terrabacteria group	2.16158	0
"Acidaminococcus massiliensis"	Bacteria	Terrabacteria group	2.67	0
"Acidaminococcus provencensis"	Bacteria	Terrabacteria group	2.60549	0
"Acidaminococcus timonensis"	Bacteria	Terrabacteria group	2.29706	0
"Acidianus bottle-shaped virus"	Viruses	Other	0.023814	1
"Acidianus bottle-shaped virus 2"	Viruses	Other	0.022613	1
"Acidianus bottle-shaped virus 3"	Viruses	Other	0.028489	1
"Acidianus brierleyi"	Archaea	TACK group	2.94716	1
"Acidianus filamentous virus 1"	Viruses	Other	0.020869	1
"Acidianus filamentous virus 2"	Viruses	Other	0.031787	1
"Acidianus filamentous virus 3"	Viruses	Other	0.040449	1
"Acidianus filamentous virus 6"	Viruses	Other	0.039577	1
"Acidianus filamentous virus 7"	Viruses	Other	0.036895	1
"Acidianus filamentous virus 8"	Viruses	Other	0.038179	1
"Acidianus filamentous virus 9"	Viruses	Other	0.041172	1
"Acidianus hospitalis"	Archaea	TACK group	2.13765	1
"Acidianus manzaensis"	Archaea	TACK group	2.68746	1
"Acidianus rod-shaped virus 1"	Viruses	Other	0.024655	1
"Acidianus rod-shaped virus 2"	Viruses	Other	0.029763	1
"Acidianus spindle-shaped virus 1"	Viruses	Other	0.024186	1
"Acidianus sulfidivorans"	Archaea	TACK group	2.28708	1
"Acidianus tailed spindle virus"	Viruses	Other	0.070812	1
"Acidianus two-tailed virus"	Viruses	Other	0.06273	1
"Acidianus two-tailed virus 2"	Viruses	Other	0.0579	1
"Acidianus two-tailed virus variant 1"	Viruses	Other	0.061783	1
"Acidibacillus ferrooxidans"	Bacteria	Terrabacteria group	3.03443	0
"Acidibacillus sulfuroxidans"	Bacteria	Terrabacteria group	2.87373	0
"Acidibrevibacterium fodinaquatile"	Bacteria	Proteobacteria	4.03761	1
"Acidicaldus organivorans"	Bacteria	Proteobacteria	2.98963	0
"Acidiferrobacter"	Bacteria	Proteobacteria	3.3984	1
"Acidiferrobacter thiooxydans"	Bacteria	Proteobacteria	3.25282	0
"Acidiferrobacteraceae bacterium"	Bacteria	Proteobacteria	3.50956	0
"Acidiferrobacterales bacterium"	Bacteria	Proteobacteria	0.731358	0
"Acidihalobacter ferrooxidans"	Bacteria	Proteobacteria	3.44883	1
"Acidihalobacter prosperus"	Bacteria	Proteobacteria	3.56694	0
"Acidilobaceae archaeon UBA158"	Archaea	TACK group	1.46594	0
"Acidilobaceae archaeon UBA162"	Archaea	TACK group	1.14774	0
"Acidilobus"	Archaea	TACK group	1.54851	1
"Acidilobus saccharovorans"	Archaea	TACK group	1.49645	1
"Acidimicrobiaceae bacterium"	Bacteria	Terrabacteria group	6.92735	0
"Acidimicrobiaceae bacterium RAAP-2"	Bacteria	Terrabacteria group	2.24069	0
"Acidimicrobiaceae bacterium RAAP-3"	Bacteria	Terrabacteria group	3.04698	0
"Acidimicrobiaceae bacterium TMED130"	Bacteria	Terrabacteria group	1.45832	0
"Acidimicrobiaceae bacterium TMED189"	Bacteria	Terrabacteria group	0.641117	0
"Acidimicrobiaceae bacterium TMED210"	Bacteria	Terrabacteria group	0.649068	0
"Acidimicrobiaceae bacterium TMED224"	Bacteria	Terrabacteria group	1.43549	0
"Acidimicrobiaceae bacterium TMED244"	Bacteria	Terrabacteria group	0.583806	0
"Acidimicrobiaceae bacterium TMED77"	Bacteria	Terrabacteria group	1.39397	0
"Acidimicrobiaceae bacterium UBA2093"	Bacteria	Terrabacteria group	1.66045	0
"Acidimicrobiaceae bacterium UBA668"	Bacteria	Terrabacteria group	3.34874	0
"Acidimicrobiaceae bacterium UBA6895"	Bacteria	Terrabacteria group	1.9657	0
"Acidimicrobiaceae bacterium UBA7323"	Bacteria	Terrabacteria group	2.37906	0
"Acidimicrobiaceae bacterium UBA7830"	Bacteria	Terrabacteria group	2.11059	0
"Acidimicrobiales bacterium"	Bacteria	Terrabacteria group	3.48065	0
"Acidimicrobiales bacterium 20-64-4"	Bacteria	Terrabacteria group	0.192988	0
"Acidimicrobiales bacterium Acd.OSU.001"	Bacteria	Terrabacteria group	1.38885	0
"Acidimicrobiales bacterium AG-410-I20"	Bacteria	Terrabacteria group	1.53275	0
"Acidimicrobiales bacterium AG-410-K21"	Bacteria	Terrabacteria group	1.0903	0
"Acidimicrobiales bacterium AG-414-N20"	Bacteria	Terrabacteria group	1.80565	0
"Acidimicrobiales bacterium MED-G01"	Bacteria	Terrabacteria group	1.95828	0
"Acidimicrobiales bacterium mtb01"	Bacteria	Terrabacteria group	2.55518	0
"Acidimicrobiales bacterium UBA7543"	Bacteria	Terrabacteria group	4.05107	0
"Acidimicrobiia bacterium"	Bacteria	Terrabacteria group	3.71299	0
"Acidimicrobiia bacterium BACL6 MAG-120322-bin79"	Bacteria	Terrabacteria group	1.75361	0
"Acidimicrobiia bacterium BACL6 MAG-120910-bin40"	Bacteria	Terrabacteria group	1.68832	0
"Acidimicrobiia bacterium BACL6 MAG-120924-bin43"	Bacteria	Terrabacteria group	1.54262	0
"Acidimicrobiia bacterium BACL6 MAG-121220-bin61"	Bacteria	Terrabacteria group	1.20514	0
"Acidimicrobiia bacterium REDSEA-S09_B7"	Bacteria	Terrabacteria group	2.02117	0
"Acidimicrobiia bacterium REDSEA-S14_B4"	Bacteria	Terrabacteria group	2.0985	0
"Acidimicrobiia bacterium REDSEA-S20_B6"	Bacteria	Terrabacteria group	1.75716	0
"Acidimicrobiia bacterium REDSEA-S21_B10"	Bacteria	Terrabacteria group	1.72669	0
"Acidimicrobiia bacterium REDSEA-S33_B8N9"	Bacteria	Terrabacteria group	2.14939	0
"Acidimicrobiia bacterium UBA1281"	Bacteria	Terrabacteria group	0.776704	0
"Acidimicrobiia bacterium UBA2766"	Bacteria	Terrabacteria group	3.77802	0
"Acidimicrobiia bacterium UBA4461"	Bacteria	Terrabacteria group	3.82586	0
"Acidimicrobiia bacterium UBA4744"	Bacteria	Terrabacteria group	3.11014	0
"Acidimicrobiia bacterium UBA5794"	Bacteria	Terrabacteria group	2.64262	0
"Acidimicrobiia bacterium UBA6912"	Bacteria	Terrabacteria group	3.93925	0
"Acidimicrobium"	Bacteria	Terrabacteria group	1.67206	0
"Acidimicrobium ferrooxidans"	Bacteria	Terrabacteria group	2.15816	1
"Acidiphilium"	Bacteria	Proteobacteria	4.18289	0
"Acidiphilium angustum"	Bacteria	Proteobacteria	4.17541	0
"Acidiphilium cryptum"	Bacteria	Proteobacteria	3.96308	1
"Acidiphilium multivorum"	Bacteria	Proteobacteria	4.21474	1
"Acidiphilium rubrum"	Bacteria	Proteobacteria	3.97699	0
"Acidipila"	Bacteria	Acidobacteria	5.00405	0
"Acidipila dinghuensis"	Bacteria	Acidobacteria	5.11619	0
"Acidipila rosea"	Bacteria	Acidobacteria	4.21373	0
"Acidiplasma"	Archaea	Euryarchaeota	1.74736	0
"Acidiplasma aeolicum"	Archaea	Euryarchaeota	1.7789	0
"Acidiplasma cupricumulans"	Archaea	Euryarchaeota	1.74753	0
"Acidipropionibacterium acidipropionici"	Bacteria	Terrabacteria group	3.65138	1
"Acidipropionibacterium jensenii"	Bacteria	Terrabacteria group	3.02835	0
"Acidipropionibacterium thoenii"	Bacteria	Terrabacteria group	2.93807	0
"Acidipropionibacterium timonense"	Bacteria	Terrabacteria group	2.81651	0
"Acidipropionibacterium virtanenii"	Bacteria	Terrabacteria group	3.43287	1
"Acidisarcina polymorpha"	Bacteria	Acidobacteria	7.60073	1
"Acidisphaera rubrifaciens"	Bacteria	Proteobacteria	3.86227	0
"Aciditerrimonas ferrireducens"	Bacteria	Terrabacteria group	1.17694	0
"Acidithiobacillales bacterium SG8_45"	Bacteria	Proteobacteria	2.28308	0
"Acidithiobacillales bacterium SM1_46"	Bacteria	Proteobacteria	2.61636	0
"Acidithiobacillales bacterium SM23_46"	Bacteria	Proteobacteria	2.82603	0
"Acidithiobacillus"	Bacteria	Proteobacteria	3.57802	0
"Acidithiobacillus albertensis"	Bacteria	Proteobacteria	3.50332	0
"Acidithiobacillus caldus"	Bacteria	Proteobacteria	2.98705	1
"Acidithiobacillus ferridurans"	Bacteria	Proteobacteria	2.9214	1
"Acidithiobacillus ferrivorans"	Bacteria	Proteobacteria	3.20755	1
"Acidithiobacillus ferrooxidans"	Bacteria	Proteobacteria	2.9824	1
"Acidithiobacillus phage AcaML1"	Viruses	Other	0.059363	1
"Acidithiobacillus thiooxidans"	Bacteria	Proteobacteria	3.01987	0
"Acidithrix ferrooxidans"	Bacteria	Terrabacteria group	4.01987	0
"Acidobacteria bacterium"	Bacteria	Acidobacteria	9.13755	0
"Acidobacteria bacterium 13_1_20CM_2_55_15"	Bacteria	Acidobacteria	3.44486	0
"Acidobacteria bacterium 13_1_20CM_2_57_8"	Bacteria	Acidobacteria	1.05526	0
"Acidobacteria bacterium 13_1_20CM_2_60_10"	Bacteria	Acidobacteria	2.13659	0
"Acidobacteria bacterium 13_1_20CM_2_65_9"	Bacteria	Acidobacteria	4.49101	0
"Acidobacteria bacterium 13_1_20CM_2_68_14"	Bacteria	Acidobacteria	1.97334	0
"Acidobacteria bacterium 13_1_20CM_2_68_7"	Bacteria	Acidobacteria	1.63258	0
"Acidobacteria bacterium 13_1_20CM_3_53_8"	Bacteria	Acidobacteria	6.10271	0
"Acidobacteria bacterium 13_1_20CM_3_58_11"	Bacteria	Acidobacteria	2.74389	0
"Acidobacteria bacterium 13_1_20CM_4_56_7"	Bacteria	Acidobacteria	2.86693	0
"Acidobacteria bacterium 13_1_20CM_4_57_11"	Bacteria	Acidobacteria	1.99448	0
"Acidobacteria bacterium 13_1_20CM_58_21"	Bacteria	Acidobacteria	3.86111	0
"Acidobacteria bacterium 13_1_40CM_2_56_11"	Bacteria	Acidobacteria	3.18183	0
